legacy_fact_id,technical_topic,concise_factual_claim,classification,classification_reason,short_engineering_explanation,application_limitations_or_context,appropriate_destination_page,supporting_source,last_reviewed_date,human_technical_review_required,approved_for_publication
LEGACY-0001,Die Identification,Die Identification must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0002,Set Traceability,Set Traceability must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0003,Clean-Before-Inspection,Clean-Before-Inspection must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0004,Die-Bore Visual Inspection,Die-Bore Visual Inspection must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0005,Directional Lighting,Directional Lighting must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0006,Magnification,Magnification must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0007,Bore Roughness,Bore Roughness must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0008,Ra Limitations,Ra Limitations must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0009,Bore Scratches,Bore Scratches must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0010,Corrosion Pits,Corrosion Pits must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0011,Die Entry Condition,Die Entry Condition must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0012,Die Exit Condition,Die Exit Condition must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0013,Bore Diameter,Bore Diameter must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0014,Ovality,Ovality must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0015,Taper,Taper must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0016,Dimensional Records,Dimensional Records must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0017,Ejection Force,Ejection Force must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
