unique_fact_id,technical_topic,concise_factual_claim,short_engineering_explanation,application_limitations_or_context,appropriate_destination_page,supporting_source,source_citation,last_reviewed_date,human_technical_review_required,approval_status
PGE-CGMP-0001,"Ventilation, air filtration, air heating and cooling",Adequate ventilation must be provided.,"Engineering implication: implementation evidence should address ventilation, air filtration, air heating and cooling.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.46(a) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.46,21 CFR § 211.46(a),2026-08-07,No,Approved for batch 1
PGE-CGMP-0002,Design and construction features,Storage of drug products after release;,Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(8) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(8),2026-08-07,No,Approved for batch 1
PGE-CGMP-0003,Design and construction features,Manufacturing and processing operations;,Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(5) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(5),2026-08-07,No,Approved for batch 1
PGE-CGMP-0004,Lighting,Adequate lighting must be provided in all areas.,Engineering implication: implementation evidence should address lighting.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.44 for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.44,21 CFR § 211.44,2026-08-07,No,Approved for batch 1
PGE-CGMP-0005,Design and construction features,A system for monitoring environmental conditions;,Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(iv) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(iv),2026-08-07,No,Approved for batch 1
PGE-CGMP-0006,Design and construction features,"Aseptic processing, which includes as appropriate:",Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(10) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(10),2026-08-07,No,Approved for batch 1
PGE-CGMP-0007,Design and construction features,Quarantine storage before release of drug products;,Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(7) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(7),2026-08-07,No,Approved for batch 1
PGE-CGMP-0008,Personnel responsibilities,Personnel must practice good sanitation and health habits.,Engineering implication: implementation evidence should address personnel responsibilities.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.28(b) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.28,21 CFR § 211.28(b),2026-08-07,No,Approved for batch 1
PGE-CGMP-0009,Design and construction features,A system for maintaining any equipment used to control the aseptic conditions.,Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(vi) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(vi),2026-08-07,No,Approved for batch 1
PGE-CGMP-0010,Design and construction features,"Floors, walls, and ceilings of smooth, hard surfaces that are easily cleanable;",Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(i) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(i),2026-08-07,No,Approved for batch 1
PGE-CGMP-0011,Design and construction features,"Storage of released components, drug product containers, closures, and labeling;",Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(3) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(3),2026-08-07,No,Approved for batch 1
PGE-CGMP-0012,Design and construction features,A system for cleaning and disinfecting the room and equipment to produce aseptic conditions;,Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(v) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(v),2026-08-07,No,Approved for batch 1
